Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.6112592220306396,1.4260227680206299,0.35447436571121216,0.4930555522441864
1,1.3339163064956665,1.1013450622558594,0.4969591796398163,0.8263888955116272
2,1.124396562576294,0.8431575298309326,0.6072980165481567,0.9131944179534912
3,0.9370644092559814,0.6729342937469482,0.6568201780319214,0.9166666865348816
4,0.8669068813323975,0.5840251445770264,0.686359703540802,0.9166666865348816
5,0.797802209854126,0.4812847375869751,0.7098175287246704,0.9444444179534912
6,0.767907440662384,0.4357120990753174,0.7158992290496826,0.9618055820465088
7,0.724885106086731,0.38157856464385986,0.7158992290496826,0.9618055820465088
8,0.6780726313591003,0.33738693594932556,0.7228496670722961,0.96875
9,0.6474470496177673,0.3104618787765503,0.7263249158859253,0.96875
10,0.6286008358001709,0.280335009098053,0.7662901878356934,0.9722222089767456
11,0.6294366717338562,0.26644814014434814,0.7254561185836792,0.9722222089767456
12,0.5820750594139099,0.2407190203666687,0.7541268467903137,0.9791666865348816
13,0.5832860469818115,0.21382147073745728,0.7515203952789307,0.9791666865348816
14,0.5618820786476135,0.20350046455860138,0.7949609160423279,0.9722222089767456
15,0.5319205522537231,0.19571641087532043,0.8175499439239502,0.9791666865348816
16,0.5226055979728699,0.18046320974826813,0.8123371005058289,0.9756944179534912
17,0.5345332622528076,0.17430803179740906,0.8045178055763245,0.9791666865348816
18,0.5299645662307739,0.17075753211975098,0.8105995059013367,0.9826388955116272
19,0.4873603284358978,0.1552072912454605,0.8305820822715759,0.9826388955116272
20,0.43978872895240784,0.1415276974439621,0.8453518748283386,0.9861111044883728
21,0.48420190811157227,0.14823344349861145,0.8297132849693298,0.9826388955116272
22,0.4506058096885681,0.14823344349861145,0.8479583263397217,0.9826388955116272
23,0.4642082750797272,0.14823345839977264,0.8444830775260925,0.9826388955116272
24,0.4968436062335968,0.14823344349861145,0.8166811466217041,0.9826388955116272
25,0.4395761489868164,0.14823344349861145,0.8427454233169556,0.9826388955116272
26,0.4836202561855316,0.14823345839977264,0.8236316442489624,0.9826388955116272
