Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,1.6129164695739746,1.3295044898986816,0.388357937335968,0.7430555820465088
1,1.2380882501602173,0.9701103568077087,0.5412684679031372,0.7638888955116272
2,1.071826457977295,0.7743787169456482,0.5734144449234009,0.8020833134651184
3,0.9638055562973022,0.6496594548225403,0.609904408454895,0.8715277910232544
4,0.8893527984619141,0.5589178800582886,0.64726322889328,0.9270833134651184
5,0.804205060005188,0.47621262073516846,0.6967853903770447,0.9513888955116272
6,0.7755059599876404,0.43510371446609497,0.7106863856315613,0.96875
7,0.7142960429191589,0.3704172670841217,0.7141615748405457,0.9618055820465088
8,0.6872003674507141,0.33135661482810974,0.7419635057449341,0.9826388955116272
9,0.6463978290557861,0.29718631505966187,0.758470892906189,0.9826388955116272
10,0.6109583377838135,0.2657272219657898,0.7775847315788269,0.9791666865348816
11,0.5903979539871216,0.23664644360542297,0.7975673079490662,0.9826388955116272
12,0.5436935424804688,0.2086760401725769,0.8201563954353333,0.9895833134651184
13,0.5683623552322388,0.20117545127868652,0.813205897808075,0.9930555820465088
14,0.523128092288971,0.1807284951210022,0.8375325798988342,0.9895833134651184
15,0.5279144644737244,0.1697321981191635,0.8323197364807129,0.9930555820465088
16,0.4997458755970001,0.15176765620708466,0.8375325798988342,0.9895833134651184
17,0.5187380313873291,0.14565104246139526,0.8279756903648376,0.9965277910232544
18,0.4884345531463623,0.13769568502902985,0.8305820822715759,0.9965277910232544
19,0.4335006773471832,0.1172882616519928,0.8653345108032227,0.9930555820465088
20,0.4491330683231354,0.1136125847697258,0.8453518748283386,0.9930555820465088
21,0.4645005464553833,0.10844828933477402,0.833188533782959,0.9965277910232544
22,0.44678211212158203,0.10336621850728989,0.8366637825965881,0.9965277910232544
23,0.4659004807472229,0.09995340555906296,0.8210251927375793,0.9965277910232544
24,0.44904565811157227,0.09213874489068985,0.833188533782959,0.9965277910232544
25,0.39602816104888916,0.08729878067970276,0.8496959209442139,0.9965277910232544
26,0.43563494086265564,0.08612284064292908,0.8340573310852051,0.9965277910232544
27,0.3830925226211548,0.07695984840393066,0.8557775616645813,0.9965277910232544
28,0.39520999789237976,0.07640792429447174,0.8470894694328308,0.9965277910232544
29,0.4177934527397156,0.07305863499641418,0.8366637825965881,0.9965277910232544
30,0.37884628772735596,0.0701606348156929,0.8436142206192017,0.9965277910232544
31,0.418073445558548,0.07094494998455048,0.833188533782959,0.9965277910232544
32,0.366894006729126,0.07094494998455048,0.8557775616645813,0.9965277910232544
33,0.38387587666511536,0.07094494998455048,0.8496959209442139,0.9965277910232544
34,0.4130115807056427,0.07094494253396988,0.8305820822715759,0.9965277910232544
35,0.357098788022995,0.07094494998455048,0.8566464185714722,0.9965277910232544
36,0.4072636663913727,0.07094494253396988,0.8436142206192017,0.9965277910232544
