Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,0.7545228600502014,0.3771655559539795,0.7158992290496826,0.9652777910232544
1,0.7149681448936462,0.35397326946258545,0.7306689620018005,0.9618055820465088
2,0.7050989866256714,0.33064988255500793,0.7228496670722961,0.9722222089767456
3,0.6841810941696167,0.2998441159725189,0.723718523979187,0.9791666865348816
4,0.6790477633476257,0.28271448612213135,0.7185056209564209,0.9826388955116272
5,0.6666591167449951,0.26713502407073975,0.7158992290496826,0.9826388955116272
6,0.6410695314407349,0.25911280512809753,0.7454387545585632,0.9826388955116272
7,0.606730043888092,0.23723898828029633,0.7532580494880676,0.9861111044883728
8,0.6151257753372192,0.22284828126430511,0.7445699572563171,0.9930555820465088
9,0.5769931674003601,0.21526961028575897,0.8027802109718323,0.9930555820465088
10,0.574566125869751,0.2078389972448349,0.8079930543899536,0.9930555820465088
11,0.6056050062179565,0.19904130697250366,0.7854039669036865,0.9930555820465088
12,0.5354710221290588,0.1851728856563568,0.8262380361557007,0.9930555820465088
13,0.5515321493148804,0.17842823266983032,0.8314509391784668,0.9930555820465088
14,0.5503349900245667,0.17020206153392792,0.8210251927375793,0.9930555820465088
15,0.5200578570365906,0.16346338391304016,0.8297132849693298,0.9930555820465088
16,0.5578435659408569,0.16548003256320953,0.815812349319458,0.9930555820465088
17,0.5427809953689575,0.16548003256320953,0.8149435520172119,0.9930555820465088
18,0.5363401770591736,0.16548003256320953,0.8045178055763245,0.9930555820465088
19,0.5431079864501953,0.16548003256320953,0.815812349319458,0.9930555820465088
20,0.5591809749603271,0.16548003256320953,0.7975673079490662,0.9930555820465088
21,0.5562764406204224,0.16548003256320953,0.8036490082740784,0.9930555820465088
22,0.5745260715484619,0.16548003256320953,0.8062554597854614,0.9930555820465088
23,0.5560448169708252,0.16548003256320953,0.813205897808075,0.9930555820465088
24,0.5486083030700684,0.16548003256320953,0.8201563954353333,0.9930555820465088
25,0.5315473675727844,0.16548003256320953,0.814074695110321,0.9930555820465088
26,0.5611767172813416,0.16548004746437073,0.8218939900398254,0.9930555820465088
27,0.5387338399887085,0.16548003256320953,0.8262380361557007,0.9930555820465088
28,0.5418336391448975,0.16548003256320953,0.8297132849693298,0.9930555820465088
29,0.5239500999450684,0.16548003256320953,0.8305820822715759,0.9930555820465088
30,0.5275492072105408,0.16548003256320953,0.8262380361557007,0.9930555820465088
